"BehaviorSpace results (NetLogo 6.0.1)"
"Malaria-Spread-Model.nlogo"
"Low-Human-InitPop-Low-Los-InitPop"
"12/10/2019 10:33:26:293 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
,"40","31","3","90","10","0","40","32","10","90","10","0","40","32","16","90","11","0"
,"41","31","2","90","10","0","41","32","10","90","10","0","41","32","13","90","11","0"
,"42","31","2","90","10","0","42","32","9","90","10","0","42","32","12","90","11","0"
,"43","31","2","90","10","0","43","32","8","90","10","0","43","32","20","90","11","0"
,"44","31","2","90","10","0","44","32","7","90","10","0","44","32","19","90","11","0"
,"45","31","2","90","10","0","45","32","7","90","10","0","45","32","19","90","11","0"
,"46","31","2","90","10","0","46","32","7","90","10","0","46","32","17","90","11","0"
,"47","31","2","90","10","0","47","32","5","90","10","0","47","32","17","90","11","0"
,"48","31","2","90","10","0","48","32","5","90","10","0","48","32","16","90","11","0"
,"49","31","1","90","10","0","49","32","4","90","10","0","49","32","16","90","11","0"
,"50","31","0","90","10","0","50","32","4","90","10","0","50","32","17","90","11","0"
,,,,,,,"51","32","4","90","10","0","51","32","15","90","11","0"
,,,,,,,"52","32","3","90","10","0","52","32","15","90","11","0"
,,,,,,,"53","32","3","90","10","0","53","32","15","90","11","0"
,,,,,,,"54","32","3","90","10","0","54","32","25","90","11","0"
,,,,,,,"55","32","3","90","10","0","55","32","24","90","11","0"
,,,,,,,"56","32","3","90","10","0","56","32","25","90","11","0"
,,,,,,,"57","32","2","90","10","0","57","32","25","90","11","0"
,,,,,,,"58","32","1","90","10","0","58","32","24","90","11","0"
,,,,,,,"59","32","0","90","10","0","59","32","21","90","11","0"
,,,,,,,,,,,,,"60","32","21","90","11","0"
,,,,,,,,,,,,,"61","32","20","90","11","0"
,,,,,,,,,,,,,"62","32","20","90","11","0"
,,,,,,,,,,,,,"63","32","19","90","11","0"
,,,,,,,,,,,,,"64","32","30","90","11","0"
,,,,,,,,,,,,,"65","32","29","90","11","0"
,,,,,,,,,,,,,"66","32","27","90","11","0"
,,,,,,,,,,,,,"67","32","37","90","11","0"
,,,,,,,,,,,,,"68","32","36","90","11","0"
,,,,,,,,,,,,,"69","32","33","90","11","0"
,,,,,,,,,,,,,"70","32","33","90","11","0"
,,,,,,,,,,,,,"71","32","30","90","11","0"
,,,,,,,,,,,,,"72","32","29","90","11","0"
,,,,,,,,,,,,,"73","32","52","90","11","0"
,,,,,,,,,,,,,"74","32","51","90","11","0"
,,,,,,,,,,,,,"75","32","50","90","11","0"
,,,,,,,,,,,,,"76","32","50","90","11","0"
,,,,,,,,,,,,,"77","32","48","90","11","0"
,,,,,,,,,,,,,"78","32","57","90","11","0"
,,,,,,,,,,,,,"79","32","56","90","11","0"
,,,,,,,,,,,,,"80","32","55","90","11","0"
,,,,,,,,,,,,,"81","32","56","90","11","0"
,,,,,,,,,,,,,"82","32","62","90","11","0"
,,,,,,,,,,,,,"83","32","57","90","11","0"
,,,,,,,,,,,,,"84","32","55","90","11","0"
,,,,,,,,,,,,,"85","32","52","90","11","0"
,,,,,,,,,,,,,"86","32","52","90","11","0"
,,,,,,,,,,,,,"87","32","49","90","11","0"
,,,,,,,,,,,,,"88","32","41","90","11","0"
,,,,,,,,,,,,,"89","32","40","90","11","0"
,,,,,,,,,,,,,"90","32","42","90","11","0"
,,,,,,,,,,,,,"91","32","56","90","11","0"
,,,,,,,,,,,,,"92","32","53","90","11","0"
,,,,,,,,,,,,,"93","32","49","90","11","0"
,,,,,,,,,,,,,"94","32","46","90","11","0"
,,,,,,,,,,,,,"95","32","44","90","11","0"
,,,,,,,,,,,,,"96","32","41","90","11","0"
,,,,,,,,,,,,,"97","32","41","90","11","0"
